|  SP | White    | Black    | Chess960FEN                                                   |
| 159 | NRNQKRBB | nrnqkrbb | [FEN "nrnqkrbb/pppppppp/8/8/8/8/PPPPPPPP/NRNQKRBB w - - 0 1"] |
| 160 | BBNRNKQR | bbnrnkqr | [FEN "bbnrnkqr/pppppppp/8/8/8/8/PPPPPPPP/BBNRNKQR w - - 0 1"] |
| 161 | BNRBNKQR | bnrbnkqr | [FEN "bnrbnkqr/pppppppp/8/8/8/8/PPPPPPPP/BNRBNKQR w - - 0 1"] |
| 162 | BNRNKBQR | bnrnkbqr | [FEN "bnrnkbqr/pppppppp/8/8/8/8/PPPPPPPP/BNRNKBQR w - - 0 1"] |
| 163 | BNRNKQRB | bnrnkqrb | [FEN "bnrnkqrb/pppppppp/8/8/8/8/PPPPPPPP/BNRNKQRB w - - 0 1"] |
| 164 | NBBRNKQR | nbbrnkqr | [FEN "nbbrnkqr/pppppppp/8/8/8/8/PPPPPPPP/NBBRNKQR w - - 0 1"] |
| 165 | NRBBNKQR | nrbbnkqr | [FEN "nrbbnkqr/pppppppp/8/8/8/8/PPPPPPPP/NRBBNKQR w - - 0 1"] |
| 166 | NRBNKBQR | nrbnkbqr | [FEN "nrbnkbqr/pppppppp/8/8/8/8/PPPPPPPP/NRBNKBQR w - - 0 1"] |
| 167 | NRBNKQRB | nrbnkqrb | [FEN "nrbnkqrb/pppppppp/8/8/8/8/PPPPPPPP/NRBNKQRB w - - 0 1"] |
| 168 | NBRNBKQR | nbrnbkqr | [FEN "nbrnbkqr/pppppppp/8/8/8/8/PPPPPPPP/NBRNBKQR w - - 0 1"] |
| 169 | NRNBBKQR | nrnbbkqr | [FEN "nrnbbkqr/pppppppp/8/8/8/8/PPPPPPPP/NRNBBKQR w - - 0 1"] |
| 170 | NRNKBBQR | nrnkbbqr | [FEN "nrnkbbqr/pppppppp/8/8/8/8/PPPPPPPP/NRNKBBQR w - - 0 1"] |
| 171 | NRNKBQRB | nrnkbqrb | [FEN "nrnkbqrb/pppppppp/8/8/8/8/PPPPPPPP/NRNKBQRB w - - 0 1"] |
| 172 | NBRNKQBR | nbrnkqbr | [FEN "nbrnkqbr/pppppppp/8/8/8/8/PPPPPPPP/NBRNKQBR w - - 0 1"] |
| 173 | NRNBKQBR | nrnbkqbr | [FEN "nrnbkqbr/pppppppp/8/8/8/8/PPPPPPPP/NRNBKQBR w - - 0 1"] |
| 174 | NRNKQBBR | nrnkqbbr | [FEN "nrnkqbbr/pppppppp/8/8/8/8/PPPPPPPP/NRNKQBBR w - - 0 1"] |
